sample	Helicobacter	Comamonas	Caenimonas	Dorea	Sutterella	Anaerovibrio	Odoribacter	Succinivibrio	Sphingomonas	Aeromonas	Lactobacillus	Blautia	Enhydrobacter	Oscillibacter	Exiguobacterium	Desulfovibrio	Parabacteroides	Fusobacterium	Dialister	Parasutterella	Rubrobacter	Actinomyces	Streptococcus	Eubacterium	Diaphorobacter	Coprococcus	Acidovorax	Bacteroides	Butyricicoccus	Staphylococcus	Rheinheimera	Asaccharobacter	Hydrogenophaga	Serratia	Zoogloea	Vibrio	Acinetobacter	Curtobacterium	Clavibacter	Novosphingobium	Veillonella	Subdoligranulum	Paraprevotella	Lactococcus	Phascolarctobacterium	Clostridium	Megamonas	Coprobacillus	Chryseobacterium	Barnesiella	GpI	Aquabacterium	Escherichia/Shigella	Haemophilus	Pseudomonas	Burkholderia	Collinsella	Microbacterium	Turicibacter	Rikenella	Pantoea	Alistipes	Delftia	Azonexus	Streptophyta	Roseburia	Stenotrophomonas	Weeksella	Arthrobacter	Bacillus	Asticcacaulis	Prevotella	Faecalibacterium	Pseudoalteromonas	Slackia	Acidaminococcus	Gp1	Sphingobium	Succinispira	Klebsiella	Brachyspira	Ralstonia	Uruburuella	Ruminococcus	Eggerthella	Citrobacter	Rhizobium	Afipia	Enterococcus	Marinomonas	Anaerostipes	Propionibacterium
Tope_D5-650-400_2_1_1115.fas	20	0	0	114	0	0	0	0	773	4	0	298	0	26	0	0	675	0	0	0	1	0	6	40	0	9	0	401	34	0	1	10	0	0	0	0	0	0	6	0	2	5	1	19	48	0	0	136	0	0	0	0	62	16	13	0	0	0	7	0	25	87	14	5	62	703	4	0	0	14	6	7	127	14	0	0	0	0	0	5	0	15	0	21	15	0	0	4	0	3	1	2
Tope_D5-640-950_1_1_430.fas	0	2	0	151	22	0	0	33	628	3	103	225	2	104	4	0	42	10	0	1	178	0	22	23	28	80	148	689	7	2	0	1	43	0	2	0	15	5	36	0	8	16	16	103	7	5	12	199	3	0	0	38	16	2	186	42	156	47	39	0	57	23	75	44	386	328	69	29	5	120	3	46	507	0	11	0	3	0	23	12	0	0	0	12	24	3	44	9	0	0	0	2
Tope_D5-631-924_1_1_213.fas	1	5	0	1059	3	0	0	4	19	7	27	628	3	30	0	2	39	1	80	40	8	0	12	16	17	1604	85	5411	1	0	0	1	0	0	4	3	60	0	0	4	1	350	6	4	2	1	0	24	0	0	1	21	390	15	12	2	408	1	3	0	1	2	1	1	15	1031	2	5	0	1	0	3	427	6	1	0	0	0	0	0	0	0	2	488	25	0	1	2	0	2	2	4
Tope_D5-634-096A_2_1_1207.fas	0	2	0	215	172	0	0	0	476	12	1	183	0	28	0	0	103	1	0	12	0	0	61	53	5	35	31	210	0	8	7	0	0	2	0	1	2	0	2	0	0	86	12	2	78	8	12	53	0	0	0	50	7	0	13	1	0	1	1	0	18	0	12	30	14	349	17	866	5	4	2	13	682	19	0	0	0	0	0	6	0	0	5	0	5	7	2	3	0	15	0	29
Tope_D5-601-618_2_1_1227.fas	26	0	0	111	55	0	0	0	678	0	47	4	1	3	10	9	20	0	2	0	0	1	4	40	98	64	293	292	7	0	0	0	0	2	9	6	42	0	5	5	8	4	1	71	0	4	0	4	7	0	0	14	14	0	90	20	9	21	18	0	69	1	47	127	288	156	31	0	8	40	1	4	154	0	1	0	1	0	3	25	0	3	0	1	1	3	6	236	0	7	0	10
Tope_D5-601-120_2_1_63.fas	0	0	0	141	0	0	0	0	75	4	0	300	0	12	0	0	20	0	3	0	0	0	8	0	0	179	1	1295	3	4	7	2	0	0	0	8	0	0	2	3	1	10	2	6	1	0	2	83	0	4	0	0	43	6	7	0	35	1	1	0	3	0	1	0	1	141	0	0	1	0	0	5	88	17	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	17	0	13
Tope_D5-603-574_2_1_213.fas	0	0	0	522	0	0	2	0	32	4	0	60	0	0	0	0	30	0	0	0	0	1	137	0	0	128	5	30	1	3	0	1	0	0	0	1	0	0	0	0	173	90	0	0	10	0	1	900	0	0	0	1	16	28	0	0	54	0	0	0	0	2	1	1	1	638	1	0	0	3	0	1	349	2	0	0	0	0	0	9	0	1	1	26	1	0	0	1	433	0	0	0
Tope_D5-604-556_2_1_1261.fas	0	0	0	290	212	0	4	0	38	0	6	256	0	13	4	0	32	0	0	13	0	1	3	15	0	298	7	4789	2	0	0	0	0	0	0	0	0	3	17	0	0	65	3	10	0	0	0	147	2	0	0	0	22	0	83	3	113	3	1	0	7	5	44	1	157	914	61	1	7	28	1	0	2201	0	0	0	0	1	44	7	0	0	0	156	1	0	8	1	0	0	0	0
Tope_D5-646-480_1_1_450.fas	4	0	0	447	73	1	16	37	128	16	18	389	0	70	1	0	112	3	0	6	62	1	45	132	18	391	62	1812	39	1	4	0	3	0	0	16	12	4	5	1	5	43	63	8	38	10	0	135	2	16	0	28	249	101	67	15	202	19	9	2	13	50	17	16	135	520	11	22	1	19	2	39	660	20	15	22	0	0	27	12	0	7	9	35	50	2	16	1	0	23	0	9
Tope_D5-604-416_2_1_577.fas	0	0	0	254	199	0	74	0	38	0	0	367	0	166	0	0	419	0	0	3	0	1	8	316	0	144	0	861	79	0	0	3	0	0	0	1	0	0	0	0	1	247	26	1	81	2	1	61	0	44	0	0	530	4	35	0	78	0	4	0	0	205	0	0	2	483	0	408	0	1	0	0	210	0	3	178	0	0	0	2	0	0	0	193	2	0	0	0	0	0	0	3
Tope_D5-608-055_2_1_1389.fas	0	0	0	5	63	0	7	0	766	21	4	8	4	0	0	0	101	0	0	0	0	0	37	0	0	36	11	852	3	9	18	2	0	3	0	18	0	0	7	0	0	0	7	28	34	0	27	59	0	0	0	0	10	0	31	4	3	2	5	0	8	70	7	12	88	79	6	30	7	3	6	48	43	65	0	0	0	0	0	24	0	9	17	0	0	1	1	9	0	21	0	13
Tope_D5-647-950_1_1_576.fas	5	1	0	93	1	0	2	1	99	29	42	381	0	9	0	0	57	4	2	128	1	0	57	3	6	101	15	1595	14	0	21	20	0	2	2	36	6	0	4	0	0	72	2	27	42	0	0	79	4	11	0	16	28	0	22	6	86	7	0	0	9	55	1	0	82	138	8	3	1	41	0	4	215	74	1	0	0	0	0	25	0	0	18	26	33	2	4	4	0	50	0	4
Tope_D5-604-978_2_1_332.fas	0	0	0	131	16	0	4	0	57	7	0	94	1	101	0	19	26	1	0	2	0	0	19	181	0	212	0	721	1	0	2	0	0	1	0	0	1	0	2	0	0	71	0	0	26	0	1	6	0	3	0	0	2	0	0	0	26	1	1	0	0	0	1	0	3	352	1	0	4	2	0	34	228	7	0	0	0	0	0	4	0	0	1	253	5	0	0	0	0	12	0	3
Tope_D5-638-082_1_1_380.fas	8	10	0	419	37	0	10	5	168	3	25	1481	2	42	0	44	56	9	0	0	10	0	9	151	45	124	228	346	14	1	3	0	15	0	13	1	57	1	20	2	0	58	13	34	0	0	56	129	3	4	2	51	14	0	71	1	49	7	15	0	12	30	38	19	104	198	22	10	4	80	0	320	357	2	2	5	2	2	16	2	0	0	0	16	15	1	17	3	1	5	0	21
Tope_D5-605-326_2_1_82.fas	0	0	0	93	0	0	0	0	7	0	0	48	0	1	0	0	272	0	0	32	0	1	8	36	0	671	0	1126	1	0	0	0	0	0	0	0	0	0	0	0	0	84	0	1	5	16	5	389	0	1	0	0	35	0	0	0	96	0	0	0	0	0	0	0	0	532	0	213	0	0	0	8	286	0	0	64	0	0	16	12	0	0	1	0	21	0	0	0	0	1	0	2
Tope_D5-605-604_2_1_635.fas	0	0	0	273	397	0	0	0	14	0	0	118	0	18	0	0	44	0	0	1	0	0	7	1948	1	230	0	2467	1	0	0	4	0	0	0	1	0	0	0	0	6	69	0	1	91	1	5	90	0	3	0	1	221	0	1	0	17	0	1	0	0	6	0	0	0	1051	0	89	3	1	0	14	806	0	8	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	1
Tope_D5-654-324_1_1_635.fas	4	0	0	58	60	0	22	8	114	1	555	472	3	97	1	16	42	0	0	0	0	0	21	3	14	97	33	919	0	1	0	2	0	0	1	6	9	0	0	0	2	60	4	12	62	10	0	102	1	3	0	47	10	0	21	3	1	3	1	0	4	72	15	0	44	313	6	0	3	12	0	8	332	2	0	0	0	0	0	6	0	3	0	450	4	0	1	2	0	0	0	6
Tope_D5-646-904_1_1_515.fas	6	8	0	52	4	14	0	111	118	0	59	63	0	112	5	1	16	2	0	2	21	0	1	11	26	81	169	160	0	16	1	0	0	0	10	0	88	0	14	4	2	15	112	36	5	28	1	24	5	1	2	58	26	1	76	19	13	16	35	1	46	6	21	3	300	146	21	16	0	35	1	266	96	0	0	0	0	0	0	21	2	0	0	20	2	2	14	12	0	0	0	34
