sampleID	Actinomycetales	Aeromonadales	Alteromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Deferribacterales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Lactobacillales	Methanobacteriales	Mycoplasmatales	Neisseriales	Pasteurellales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodospirillales	Selenomonadales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Thermoplasmatales	Verrucomicrobiales	Xanthomonadales
sample0049	1.502512325329562	0.0	0.0	0.26851452561902633	0.433202841951981	3.377499426968988	0.8444835212375335	0.0	1.7846245758742807	1.7846245758742807	0.0	4.353169027639976	3.0565692501892934	0.0	0.26851452561902633	0.433202841951981	0.7225224047471134	2.9448227122438637	0.0	0.0	0.0	3.7932828931371296	1.5573253125151567	0.433202841951981	0.0	0.5523258313366849	0.433202841951981	0.0	0.26851452561902633	0.26851452561902633	2.0401178088338634	0.0	0.0	0.433202841951981	0.0	0.0	0.0	0.0
sample0050	1.5706847439431932	0.0	0.0	0.5332817360325328	0.0	3.3493337887157653	1.15466092118174	0.0	1.493831402026788	1.713465406422426	0.0	4.096959819183569	2.1951029128337254	0.0	0.0	0.0	0.5332817360325328	3.813952114555473	0.0	0.0	0.0	4.074102213992277	0.3438164248762256	0.3438164248762256	0.0	0.0	0.0	0.0	0.0	0.0	1.9066944329926385	0.0	0.0	0.0	0.0	0.3438164248762256	0.0	0.0
sample0051	1.299481339179089	0.0	0.0	0.796435727286902	0.0	3.5756065220719853	1.166453983455696	0.0	1.8907944266248897	2.212044969260159	0.0	4.28939679915549	2.161575415227436	0.0	0.0	0.4918099024939594	0.6185502752055606	3.217183245406402	0.0	0.0	0.0	3.908338735559548	0.0	0.3120927931747104	0.0	0.3120927931747104	0.4918099024939594	0.0	0.0	0.7165376932615848	1.854046192389318	0.0	0.0	0.3120927931747104	0.0	0.0	0.0	0.0
sample0052	1.223532105358635	0.0	0.0	0.0	0.2189225522622664	3.586341198226311	0.2189225522622664	0.0	2.068256474478226	1.24022135470551	0.0	3.5584576971870567	1.8903681502089509	0.0	0.0	0.2189225522622664	0.0	2.38302362019646	0.0	0.0	0.0	4.405863405051085	0.0	1.6587007638273434	0.0	0.36379044251119025	0.0	0.0	0.0	0.36379044251119025	1.553156491983972	0.0	0.0	0.0	0.0	0.0	0.2189225522622664	0.0
sample0053	0.9835719296308177	0.0	0.0	0.0	0.3177707860474626	3.6696415372030273	0.6269352444747165	0.0	1.8031754293873463	2.1969961882597597	0.0	4.3249151413176135	2.0817955134716093	0.0	0.0	0.6269352444747165	0.0	3.461307125415631	0.0	0.0	0.0	3.638372826340716	0.0	1.5370200098968367	0.0	0.49930191386845435	0.0	0.0	0.0	0.9835719296308177	1.6231125188475617	0.0	0.0	0.0	0.0	0.0	0.3177707860474626	0.0
sample0054	1.1802904109577765	0.0	0.0	0.0	0.0	3.767032114016146	1.2788373719865436	0.0	1.9206578776570549	2.6467719606212494	0.0	4.314620728017849	1.9000640629278065	0.0	0.0	0.9403100733427081	0.552905636117018	2.7444930214895367	0.0	0.0	0.0	3.749791604536912	0.0	1.9529490427049558	0.0	0.6864510979605623	0.0	0.0	0.0	0.35907168364172676	1.9466800336587522	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0055	0.9963948421258012	0.0	0.0	0.7681938984377902	0.0	3.962505762161363	1.4304190119016849	0.0	2.3225334516822387	1.9011020913077146	0.0	4.156870305969173	1.9309964727945874	0.0	0.0	0.0	0.4185222029811815	3.0281751971426902	0.0	0.0	0.0	3.915574919050052	0.0	2.21896933209496	0.0	0.25783847244222347	0.0	0.0	0.0	0.8244295171072346	1.8966583945604927	0.0	0.0	0.25783847244222347	0.0	0.0	0.0	0.0
sample0056	1.159509527784494	0.0	0.0	0.2529683725800556	0.2529683725800556	3.55773474305254	0.2529683725800556	0.0	2.060049563039492	1.2828697858161024	0.0	4.099429302026222	2.3014636728470172	0.0	0.0	0.0	0.0	2.3561711991770498	0.0	0.0	0.0	4.2220939644592885	0.0	0.0	0.0	0.2529683725800556	0.0	0.0	0.0	0.2529683725800556	1.7125691420095286	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0057	1.2281049108319966	0.0	0.0	0.5624612615606392	0.2750359880751424	3.339779318997781	0.2750359880751424	0.0	1.8963876198320833	1.7922694941468955	0.0	4.206287874037838	2.2389038311757714	0.0	0.44210494941207185	0.7995356702530679	0.0	3.408923955679136	0.0	0.0	0.0	4.087716361049362	0.2750359880751424	0.0	0.0	0.0	0.0	0.0	0.2750359880751424	0.44210494941207185	1.8865315918743373	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0058	1.396792470551112	0.0	0.0	0.0	0.0	3.1570170827231716	0.3972231527540803	0.5110561144365672	1.7566009818636954	1.6686118020442124	0.0	4.3462322343332325	2.7462185312469902	0.0	0.2425261295139704	0.0	0.2425261295139704	3.222041570976376	0.2425261295139704	0.0	0.0	3.872532122672379	0.0	0.0	0.0	0.0	0.0	0.0	0.2425261295139704	0.2425261295139704	1.6544496191325806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
