sampleID	Actinomycetales	Aeromonadales	Alteromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Deferribacterales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Lactobacillales	Methanobacteriales	Mycoplasmatales	Neisseriales	Pasteurellales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodospirillales	Selenomonadales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Thermoplasmatales	Verrucomicrobiales	Xanthomonadales
sample0001	1.0278446282671867	0.0	0.0	0.34395348532470366	0.0	3.455599479814423	1.0278446282671867	0.0	2.0940948886149933	2.4299533224947285	0.0	4.274378985277817	2.2718330412601477	0.0	0.0	0.9756329536353485	0.34395348532470366	2.3487513136609963	0.0	0.0	0.0	4.039007680343665	0.0	0.34395348532470366	0.0	0.664952524050416	0.0	0.0	0.0	0.0	1.6821718205276328	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0002	1.159306320384059	0.0	0.0	0.8043119911067693	0.36979691752003985	3.482178322833034	0.7015160589154591	0.0	1.9116261410767834	2.6260771677928707	0.0	4.340299777017696	2.241208029791944	0.0	0.0	1.159306320384059	0.0	3.5496808777078295	0.0	0.0	0.0	3.625566225885573	0.0	1.1168797861521964	0.0	0.0	0.0	0.0	0.0	1.06985535087685	1.7487185340657125	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0003	1.2502383680195406	0.0	0.0	1.5726843007353866	0.0	3.480532994371841	1.133360613631939	0.0	1.6332804838389834	2.6574374065679094	0.0	4.37172838849431	1.6987814058868784	0.0	0.9029215994374256	1.133360613631939	0.3800989905965005	2.616808357824509	0.0	0.0	0.0	3.765416541001613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2831188059053338	1.53888921382784	0.0	0.0	0.5796418009117835	0.0	0.0	0.3800989905965005	0.0
sample0004	1.1816392350112586	0.0	0.0	0.0	0.0	3.873997123309674	1.0846307699600486	0.0	2.4291651661485645	2.7439180991722663	0.0	4.225342335384935	2.27542277779515	0.0	0.48109131347351713	1.046797450762859	0.3040109369071692	2.554928153018978	0.0	0.0	0.0	3.888066706745967	0.0	0.0	0.0	0.0	0.48109131347351713	0.0	0.0	1.0846307699600486	1.7218314071558867	0.0	0.0	0.3040109369071692	0.3040109369071692	0.6065237653395398	0.0	0.0
sample0005	1.0261451015863186	0.0	0.0	0.8458923583361492	0.3429283241821707	3.6141125251778496	0.8458923583361492	0.0	2.075003448356538	2.0187853997662106	0.0	4.322247343478	2.092234222597066	0.0	0.0	1.072730125167874	0.0	3.455191652698573	0.0	0.0	0.0	3.705505830536179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1883871779272577	1.731691634892569	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0006	1.2934390038990176	0.0	0.0	1.1758043701890313	0.4072982466399962	3.547152881541285	1.0748597435263858	0.0	1.7311975470729564	2.2315602851018697	0.0	4.356930603173683	1.8413345476566227	0.0	0.0	1.013962807686226	0.0	2.848292650871195	0.0	0.0	0.0	3.7854889747030596	0.0	1.013962807686226	0.0	0.0	0.0	0.0	0.0	1.1282583437696592	1.6171663536221996	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0007	0.8718056397862557	0.0	0.0	0.0	0.3168083185541403	3.640163459232058	1.1076839478556746	0.3168083185541403	2.40194395729795	2.4541363877290707	0.0	4.221417261141339	2.1379795800325687	0.0	0.8041387266234489	1.461257544674736	0.3168083185541403	2.392601162168	0.0	0.0	0.0	4.0588393159351455	0.625517590120221	0.0	0.0	0.49803415248192945	0.0	0.0	0.0	0.3168083185541403	1.5983956933997756	0.0	0.0	0.3168083185541403	0.0	0.0	0.0	0.0
sample0008	1.0356948881107306	0.0	0.0	0.9238897823159661	0.0	3.4588901523307762	0.5395975125348271	0.2084518756566447	2.6294779065715783	1.878181213100069	0.0	4.239173453136537	2.1131146657187028	0.0	0.0	1.0103248571890668	0.2084518756566447	3.7245924561786623	0.0	0.0	0.0	3.8611450707792208	0.0	0.0	0.0	0.34870942231229607	0.0	0.0	0.0	0.5395975125348271	1.5650241237663922	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample0009	1.2828913828832753	0.0	0.0	0.4800371318176135	0.0	3.7334494531734377	0.7024667149097716	0.0	2.2853771267490264	2.3827462290496273	0.0	4.244990377385888	2.1535548054358644	0.0	1.3659054048484631	1.180168027325225	0.8488434416159559	2.386365521540448	0.0	0.0	0.0	3.978370842481901	0.0	0.0	0.0	0.4800371318176135	0.0	0.0	0.4800371318176135	0.8488434416159559	1.9337343162679752	0.0	0.0	0.4800371318176135	0.0	0.0	0.0	0.0
sample0010	1.279198557776981	0.0	0.0	0.0	0.0	3.1297873051746157	1.0294972074135307	0.7125100246881264	1.682396564497431	2.059416910442954	0.0	4.412401299144649	2.4221983368531275	0.0	0.3776911110756593	0.3776911110756593	0.3776911110756593	3.166580524737975	0.0	0.0	0.0	3.6335416030089887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8113150506848859	0.0	0.0	0.0	0.0	0.0	0.0	0.0
