sampleID	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chloroplast	Clostridia	Cytophagia	Deferribacteres	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Sphingobacteriia	Spirochaetia	Thermoplasmata	Verrucomicrobiae
sample0049	3.0692188289903477	0.9810006159431017	3.794444962649259	3.3782427746518864	1.785356034418485	0.0	4.354357380280999	0.0	0.2688576060576332	1.0182489020862469	1.785356034418485	2.9455655277747805	0.0	0.0	1.5580483802688168	1.5580483802688168	0.5528611467792584	2.040854693384861	0.0	0.0	0.0	0.0	0.0
sample0050	2.2856148625778787	1.154873812962664	4.074728727343443	3.3495626075648652	1.4940529824528006	0.0	4.097733511294531	0.0	0.0	1.190121406315029	1.713689900668016	3.8141810006646804	0.0	0.0	1.8048262476338057	0.34394163935432137	0.6649355535198331	1.9069205171011994	0.0	0.0	0.0	0.34394163935432137	0.0
sample0051	2.2177802927913355	1.436164250894182	3.9089563253910966	3.575773104508589	1.8909589110868734	0.0	4.290430392078715	0.0	0.0	1.2996396063065114	2.212210573570632	3.217349771070974	0.0	0.0	1.6125311853312123	0.0	0.8640376198769872	1.8542104876932068	0.0	0.0	0.0	0.0	0.0
sample0052	1.9713692801406637	1.3021042412081638	4.406972596184364	3.5872713273393826	2.0691789023480487	0.0	3.5606449226673886	0.0	0.0	0.6938396835786037	1.2410982687847054	2.383950142802698	0.0	0.0	0.9485383939444871	0.0	1.6596107399590703	1.554060857587466	0.0	0.0	0.0	0.0	0.2192911647535529
sample0053	2.1155419319938624	1.2351476230847238	3.6391778535648807	3.669800764083058	1.80333218506308	0.0	4.325362485028719	0.0	0.0	1.1768703899980324	2.197154437552407	3.4614663313213225	0.0	0.0	1.871407456330932	0.0	1.5371746469103662	1.623267987355913	0.0	0.0	0.0	0.0	0.3178534349287371
sample0054	1.9717673812736067	0.5532962790959882	3.750631929470793	3.767574455270284	1.9211938040005216	0.0	4.315244320950673	0.0	0.0	1.4859259707216266	2.6473131719115655	2.745034479136302	0.0	0.0	1.8562277450495603	0.0	1.9534854353618534	1.9472163384770156	0.0	0.0	0.0	0.0	0.0
sample0055	1.9749510889106419	1.5553578392003153	3.9165315025267313	3.963291343551615	2.3233153834437825	0.0	4.158268818518027	0.0	0.0	1.4920472370255682	1.9018779011853912	3.0289601284571748	0.0	0.0	0.7688456844600758	0.0	2.232325330612229	1.8974341030616495	0.0	0.0	0.0	0.0	0.0
sample0056	2.330580914624152	0.6955376185243548	4.2235151217761375	3.5586413504988212	2.0609485319637315	0.0	4.101236222442107	0.0	0.0	0.25336897412827347	1.2837294116893219	2.3570740679519395	0.0	0.0	0.41233546236312235	0.0	0.25336897412827347	1.7134584402215323	0.0	0.0	0.0	0.0	0.0
sample0057	2.2795921418680405	1.03075465129785	4.088720974024632	3.340313533456479	1.8969152980435087	0.0	4.207370963580737	0.0	0.4424463720387366	0.8569857963976851	1.7927953353644694	3.409458206090272	0.0	0.0	1.5816712628014282	0.2752868163938765	0.5628494153918976	1.8870591144457851	0.0	0.0	0.0	0.0	0.0
sample0058	2.7673149511469433	1.087600102406025	3.8735356876476272	3.157628413398738	1.7572020311583325	0.0	4.347867266290931	0.0	0.24278800406529882	0.6016223187201859	1.6692104466118785	3.222652960868349	0.24278800406529882	0.0	0.39758990587908943	0.0	0.0	1.6550478290694288	0.0	0.0	0.0	0.0	0.0
sample0059	2.3087137091206134	1.627721814265931	4.035644796289275	3.828332236744966	2.168957765100305	0.0	4.180478928925561	0.0	0.0	1.2134170666628703	2.1666934892969856	2.3448206766500914	0.0	0.0	1.2134170666628703	0.0	0.6845359001271318	1.8594978092438628	0.0	0.0	0.0	0.0	0.0
sample0060	2.379811245824107	1.120001235605463	3.6721947749049266	3.4925903396070197	1.9359012482933566	0.0	4.359385350486063	0.0	0.34601254377134083	1.6018898845176994	2.234407097621604	3.354977692780913	0.0	0.0	1.1583885906083373	0.0	0.9789936999049045	1.9419906547240595	0.0	0.0	0.0	0.0	0.0
sample0061	2.527381621034517	0.8843900511557944	4.261243839815477	3.1841586293461446	1.9223064249502648	0.0	4.091288999317403	0.0	0.9540211662898568	1.2630060023334058	2.6995892040765592	2.5540388856905625	0.0	0.0	1.9556017746273053	0.8843900511557944	1.7453506721056067	1.481679330317858	0.0	0.0	0.0	0.36783450622070013	0.0
sample0062	2.294099336633308	1.268729415275922	3.9614462540382687	3.316367115284974	2.2503369229553765	0.0	4.3156323387213495	0.0	1.4211726201759258	1.5419749976589487	2.397128101774392	2.880963288790171	0.0	0.0	2.222470857119118	0.7446270526026925	1.5881078981376997	1.5254401065888716	0.0	0.0	0.217644503180219	0.0	0.0
sample0063	2.1966973985466947	1.449084459769807	3.8423095806158805	3.9575270893452097	2.3064166999652977	0.0	4.1903875352557955	0.0	0.0	1.0543500318488914	2.0184147941270276	3.1743906802019146	0.0	0.0	0.8726345424528891	0.0	1.0017982653755348	1.84971819357223	0.0	0.0	0.0	0.554281176145245	0.0
sample0064	2.550220973244365	1.7249628262935683	3.927721392516824	3.5867434517371763	2.0362252005410797	0.0	4.298248838526337	0.0	0.0	1.0960793227868981	2.107617025881165	2.710873549638743	0.0	0.0	1.8496617400174868	0.0	1.7176798419380543	2.0733864393168373	0.0	0.0	0.0	0.0	0.2747991090473954
sample0065	2.224200753369433	1.4608195022549844	3.9035888645210215	3.691969207020906	2.0293845562982553	0.0	4.288172489818072	0.0	0.0	1.2488770415647956	2.5927617417065782	2.4495429771222557	0.0	0.0	1.8711258080662019	0.0	2.1169728545052124	1.8372378533262053	0.0	0.0	0.0	0.0	0.0
sample0066	2.1456118555234496	1.1434758130561522	3.9000750678042957	3.727730769929902	1.6108785240897323	0.31727551391578285	4.284052327561163	0.0	0.0	0.9827162466510536	2.040203678452135	2.7982653642948914	0.0	0.0	1.7556002712230583	0.0	1.8238004479046375	1.4286129993338674	0.0	0.0	0.0	0.0	0.0
sample0067	2.2510320789381324	1.2688657287144782	3.8510842175200977	3.716777485141103	2.146284313026236	0.0	4.280907193353798	0.0	0.0	1.6016762188897529	3.0080315846517136	2.8545199550836355	0.0	0.0	1.56712776508354	0.0	0.24650180967953983	1.7769118155100854	0.0	0.0	0.24650180967953983	0.40278157573577456	0.40278157573577456
sample0068	2.254816897297294	1.4532015550772577	3.5880716072604697	3.14456392482011	1.5742993135184886	0.0	4.190431329561635	0.0	0.0	0.8504741992438885	1.3177160537598454	4.097184292429662	0.0	0.0	1.144115793723578	0.0	0.6816477464878505	1.6241639236822791	0.0	0.0	0.0	0.0	0.0
sample0069	2.997940086543815	0.3358551723450605	3.9333427973721213	3.0704627916055056	1.5836906541339528	0.0	4.3347718849583865	0.0	0.0	0.753424123596058	1.8922102248013744	3.020271043335278	0.0	0.0	1.060804780450043	0.0	0.3358551723450605	1.798305359529377	0.0	0.0	0.3358551723450605	0.0	0.0
sample0071	2.521169878465094	1.1738148987039738	3.805148605301055	3.394690133400988	2.497255408940135	0.0	4.283992229678107	0.0	0.0	1.4107684777699074	1.589923281440578	3.6693302951924553	0.0	0.0	1.1507000151425752	0.0	1.0729075662957908	1.975817559700071	0.0	0.0	0.24881191475853046	0.0	0.0
sample0072	2.245936235938516	1.3153760333346278	3.73893175804577	3.4194108969972414	2.0989460176340606	0.0	4.332292841584051	0.0	0.0	1.3707338656083177	2.214828018518581	3.5252709616113314	0.0	0.0	1.8640928338644351	0.0	1.087815729583311	1.8171391992551535	0.0	0.0	0.0	0.0	0.0
sample0073	2.5795837596272833	1.0671129813446776	4.144475683089996	3.5014692495323203	2.248154008559559	0.0	4.1361726025614685	0.0	0.5644036335663418	1.5837536137293269	2.141107297200318	3.2721006857459876	0.0	0.0	2.124032043494418	0.0	1.230620000121306	1.6268599422864973	0.0	0.0	0.0	0.0	0.0
sample0074	2.151662980183216	1.9436132072214718	3.998103532337357	3.612463929279657	2.077378899923457	0.0	4.2654695729237195	0.0	0.0	1.4283379601290591	1.740138969388186	2.7348504891276257	0.0	0.0	1.7670932543833973	0.0	1.7307691789391704	1.6698614431076768	0.0	0.0	0.0	0.0	0.0
sample0075	2.355254588693195	1.829856521304702	3.7566739893447547	3.7666856830547126	2.4686087318667576	0.0	4.254194091743815	0.0	0.0	1.7897431408926205	1.660124431157566	3.510659524630493	0.0	0.0	1.988561528284105	0.0	0.9975778601376376	1.7826820003634682	0.0	0.0	0.0	0.0	0.0
sample0076	2.0617702955775616	1.2616429431202818	3.8116202485490662	3.7043563100223578	2.0362567856137854	0.0	4.32003153439282	0.0	0.4223236846215495	1.5797667439133818	2.502925493288138	2.631989861623819	0.0	0.0	1.8505611052550923	0.0	1.449204498946899	1.6800162385944317	0.0	0.0	0.26059352890028725	0.0	0.0
sample0077	2.4755920137898992	0.8327727959479964	4.0928650749907804	2.7123408122107273	1.6193952607242608	0.0	4.148151521813535	0.0	0.0	0.7661731399118874	0.4675653412860333	3.796828143514904	0.0	0.0	0.8327727959479964	0.0	0.6874774152259628	1.241672058701937	0.0	0.0	0.0	0.0	0.0
sample0078	2.367708001188604	1.0142781182416107	4.263796102549823	3.3998019250769995	1.8789457671694838	0.0	4.064106412201359	0.0	0.0	0.9622486044533076	1.1027007646582327	2.820462066005359	0.0	0.0	1.496046983563233	0.0	0.3358145648731874	2.0792226144134336	0.0	0.0	0.0	0.0	0.0
