sampleID	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Cyanobacteria/Chloroplast	Deferribacteres	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Spirochaetes	Tenericutes	Verrucomicrobia
sample0001	2.294863840104053	3.4600506883037747	0.0	0.0	0.0	0.0	4.480138583232613	0.0	2.751364209338512	0.0	0.5342775671575314	0.0
sample0002	2.274442056621996	3.4863556531544226	0.5650430042382417	0.0	0.0	0.0	4.474999801964503	0.0	2.8637866362082343	0.0	1.2642442136633392	0.0
sample0003	1.8233614641658538	3.4890280857437146	0.0	0.0	0.9018332759241634	0.0	4.474652813712833	0.0	2.920459654906317	0.0	1.571473535762955	0.37937383852122974
sample0004	2.307722417226758	3.876191301424593	0.0	0.0	0.4816166699372851	0.6071140756969577	4.40033581946788	0.0	2.995723563283187	0.3044059119575198	0.0	0.0
sample0005	2.1291610358825923	3.6177681954633565	0.0	0.0	0.0	0.0	4.4658817485491475	0.0	2.525940779678558	0.0	0.8463146756283872	0.0
sample0006	1.9441988144002893	3.5536479727496966	0.0	0.0	0.0	0.0	4.47313676878398	0.0	2.645346296268966	0.0	1.3853947943468252	0.0
sample0007	2.1615777630949355	3.6444571666245036	0.0	0.0	0.8045311544909884	0.6258728538018071	4.45626776415241	0.0	2.8450032674182357	0.0	0.0	0.0
sample0008	2.146927468559931	3.4654553279958993	0.0	0.0	0.0	0.0	4.480391481355477	0.0	2.750002896219559	0.0	0.9239807154784604	0.0
sample0009	2.2070592444983252	3.736882378796946	0.0	0.0	1.3671793794698857	0.0	4.4422258972785515	0.0	2.7258462436756417	0.0	0.48092802981427	0.0
sample0010	2.4603825739324017	3.1370988410548333	0.0	0.0	0.37833409403312834	0.0	4.504948510379262	0.0	2.3239467901679673	0.0	0.0	0.0
sample0011	2.0301427928618665	3.7533762609475123	0.0	0.0	0.0	0.0	4.441181840710568	0.0	2.6654404638615374	0.0	0.5512946632987882	0.0
sample0012	2.2144618507053737	3.335388847189546	0.0	0.0	0.0	0.0	4.492630123924163	0.0	2.6230135577638127	0.42517444189939885	1.2459551267983549	0.0
sample0013	2.062758091565231	3.816876088728498	0.0	0.0	0.0	0.0	4.42476562323813	0.0	2.7668363285533797	0.0	0.7515709236721326	0.0
sample0014	2.0187890654444245	3.6649188975924987	0.3485396430150417	0.0	0.0	0.0	4.454070710796194	0.0	2.8136321516825977	0.3485396430150417	1.4484980721151464	0.0
sample0015	2.8284923146600285	2.9745942130745306	0.0	0.0	1.1927757392722567	0.7234912597174283	4.500818333886024	0.0	2.709625795127357	0.0	1.427203644675443	0.26906597469101096
sample0016	2.4507335982573717	3.1490974309690736	0.0	0.0	0.6071042664705965	0.0	4.5024233595564285	0.0	2.5394476083615527	0.0	1.236769676040286	0.0
