sampleID	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chloroplast	Clostridia	Cytophagia	Deferribacteres	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Sphingobacteriia	Spirochaetia	Thermoplasmata	Verrucomicrobiae
sample0001	2.294219423574234	0.9167230787153768	4.039612899584524	3.4561086841136803	2.0946001720536946	0.0	4.275473556057088	0.0	0.0	1.281891675187756	2.430460813476038	2.3492584157278276	0.0	0.0	1.7039497406019846	0.0	0.5338192407291391	1.6826706197985226	0.0	0.0	0.0	0.0	0.0
sample0002	2.2757685404553203	1.824089949921784	3.6249184157190357	3.48139246198691	1.9108496648531288	0.0	4.340126078633197	0.0	0.0	1.3244997103932363	2.6252929089524106	3.548894979543123	0.0	0.0	1.9582157277902996	0.0	1.2655053087438728	1.7479464471705042	0.0	0.0	0.0	0.0	0.0
sample0003	1.8233791284527567	1.4815017172000575	3.764190595166382	3.479307243892202	1.6320828942495385	0.0	4.370812038730249	0.0	0.9018489613904621	1.6028427931975961	2.6562139522129273	2.615585168468469	0.0	0.0	2.247543020318375	0.0	1.5714909883428254	1.5376985592031591	0.0	0.0	0.0	0.0	0.379384285470512
sample0004	2.3071700552075165	1.7984635505784337	3.8883527799213304	3.87422622754335	2.429393448269826	0.0	4.226513812143271	0.0	0.48124477843413427	1.3483147844997105	2.744940073512438	2.5551566495356983	0.0	0.0	1.2362590521305936	0.0	0.0	1.7220561954309765	0.0	0.0	0.3041263031272804	0.6066962134925551	0.0
sample0005	2.1289968859470743	1.5551017549759847	3.7067579535254467	3.6144395808437992	2.075327832087898	0.0	4.323096382082186	0.0	0.0	1.306543088985817	2.0191094032496535	3.455518673230433	0.0	0.0	1.5551017549759847	0.0	0.846172860378165	1.7320127044553946	0.0	0.0	0.0	0.0	0.0
sample0006	1.9439651243252318	1.4840476993798333	3.785271486971062	3.546382687613543	1.7304414531042216	0.0	4.3565755150716905	0.0	0.0	1.5056111375697536	2.230794396665532	2.847523331681302	0.0	0.0	2.0919632675357382	0.0	1.3851681504663251	1.6164145589405121	0.0	0.0	0.0	0.0	0.0
sample0007	2.1610175782068723	1.3517012849918897	4.059310606122393	3.6400648727954037	2.403690417873501	0.0	4.222353930056746	0.0	0.8040555993325236	1.6212038742510815	2.455674311305437	2.3925029525072854	0.0	0.0	1.7378896984158776	0.6254423391547776	0.0	1.5982995707676884	0.0	0.0	0.0	0.0	0.0
sample0008	2.1475000957606842	1.1988798427601024	3.8627080611607147	3.4595698850864007	2.6307837646548675	0.0	4.240208008208802	0.0	0.0	1.2315234907432782	1.8788521876397417	3.7252722970207337	0.0	0.0	1.3657155402107517	0.0	0.9244887857909605	1.5656855943065748	0.0	0.0	0.0	0.0	0.0
sample0009	2.206332351945706	1.6950615781951017	3.978970557963449	3.7340491209280717	2.2859737984122175	0.0	4.246338132228168	0.0	1.36647937270189	1.2834599138627687	2.383343524703647	2.386962837799735	0.0	0.0	1.1185296254400645	0.0	0.4804384136669635	1.934327113062414	0.0	0.0	0.0	0.0	0.0
sample0010	2.459493085312229	0.8994910305543709	3.6337552365568877	3.130000829951495	1.6826058088810867	0.0	4.414010170355848	0.0	0.3778152542652899	1.172251308444351	2.0596287305149614	3.1667940623852884	0.0	0.0	1.0296909299075023	0.0	0.0	1.8115254351500463	0.0	0.0	0.0	0.0	0.0
sample0011	2.029123005659977	1.4236830923181083	3.9004374936998505	3.749889106591117	2.202121680580867	0.0	4.278093910751405	0.0	0.0	1.463584859402374	2.292874262869765	2.6679997183576436	0.0	0.0	1.4440920726692341	0.0	0.5505547689827586	1.737240785282468	0.0	0.0	0.0	0.0	0.0
