sampleID	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Cyanobacteria/Chloroplast	Deferribacteres	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Spirochaetes	Tenericutes	Verrucomicrobia
sample0049	3.0712841626212954	3.385709173439641	0.26951921099129467	0.0	0.26951921099129467	1.5594409795811728	4.477389229901628	0.0	2.279223994948207	0.0	0.5538927943685966	0.0
sample0050	2.2845061974999883	3.3577296523948563	0.0	0.0	0.0	0.532655767824051	4.493993487189017	0.0	2.28178043637555	0.0	0.6640624090821216	0.0
sample0051	2.216437750497833	3.580088902642937	0.0	0.0	0.0	0.0	4.4699746112356715	0.0	2.572059970453736	0.0	0.862871860407177	0.0
sample0052	1.9767080337112612	3.59070298170387	0.0	0.0	0.0	0.0	4.472006397486965	0.0	2.2339742685279416	0.0	1.661886729213574	0.22021513352941335
sample0053	2.11490761386169	3.672755095193747	0.49897403226559134	0.0	0.0	0.0	4.4567705724024735	0.0	2.5521139084041775	0.0	1.5365539950987788	0.3175217978625313
sample0054	1.9735043860334553	3.772375032788812	0.0	0.0	0.0	0.0	4.4330212065560115	0.0	2.8129034238113046	0.0	1.9552216361578534	0.0
sample0055	1.9792831288540764	3.967692551729822	0.0	0.0	0.0	0.0	4.37917238882769	0.0	2.5636799657347793	0.0	2.2329397551938186	0.0
sample0056	2.331898729127711	3.5632789449365814	0.0	0.0	0.0	0.0	4.474836249577926	0.0	2.148726504310112	0.0	0.25395468074613303	0.0
sample0057	2.2798954337040143	3.3432433516723368	0.0	0.0	0.4426412115105653	0.27542997990572987	4.494947586505277	0.0	2.3015527092934507	0.0	0.5630709042242212	0.0
sample0058	2.7683843769136915	3.162079835826784	0.0	0.0	0.24324708393597522	0.0	4.500916175127013	0.0	2.1068446866593487	0.0	0.0	0.0
sample0059	2.309687928706333	3.8311380004503954	0.0	0.0	0.0	0.0	4.4229792548337565	0.0	2.587777362334716	0.0	0.6853126827373731	0.0
sample0060	2.3796894885579447	3.4977122132771856	0.0	0.0	0.34594539930699564	0.0	4.478768614236479	0.0	2.54171213829519	0.0	0.9788842669210808	0.0
sample0061	2.529097819008731	3.191896416289636	0.0	0.0	0.9555514486252912	0.9555514486252912	4.493594442571213	0.0	2.864991389893224	0.0	1.7470410918138626	0.0
sample0062	2.2944238319253483	3.32022449101175	0.0	0.0	1.42148640980194	0.7448945014651829	4.487501874154687	0.0	2.8897540842667375	0.21777308948055957	1.5884256328891788	0.0
sample0063	2.197644549206753	3.9619918872174527	0.0	0.0	0.0	0.5549685766232949	4.383164522319902	0.0	2.5589003283218177	0.0	1.0026566368449457	0.0
sample0064	2.5495724354090865	3.599679392584231	0.2744942907865632	0.0	0.0	0.0	4.463585203445147	0.0	2.593692358598484	0.0	1.7170419387775995	0.2744942907865632
sample0065	2.225331945300425	3.698420982665991	0.0	0.0	0.0	0.0	4.445906580364152	0.0	2.8101394666805275	0.0	2.118102147062304	0.0
sample0066	2.146509084933187	3.733852220189578	0.0	0.3177441810176459	0.0	0.0	4.446894813310238	0.0	2.3962840401766017	0.0	1.8246905884402944	0.0
sample0067	2.2531406871543096	3.7205191658962415	0.0	0.0	0.0	0.40293423672439305	4.43341417204388	0.0	3.1110622218279405	0.24661120518385488	0.24661120518385488	0.40293423672439305
sample0068	2.253122510953417	3.1475734055766917	0.0	0.0	0.0	0.0	4.507227780235425	0.0	2.0652202478173924	0.0	0.6802990600623273	0.0
sample0069	2.999636936546749	3.074309128261724	0.0	0.0	0.0	0.0	4.498593099111823	0.0	2.1720651495415737	0.33677071718941526	0.33677071718941526	0.0
sample0071	2.520781877418475	3.4024809346614178	0.0	0.0	0.0	0.0	4.485352316875777	0.0	2.61661941112959	0.2486422319107312	1.0725513091318835	0.0
sample0072	2.245818386592844	3.42483261753625	0.0	0.0	0.0	0.0	4.48509526356184	0.0	2.657306366912034	0.0	1.0877068910160266	0.0
sample0073	2.5792818274858234	3.5069699891641295	0.0	0.0	0.5641834624966143	0.0	4.472942461268163	0.0	2.72660647548644	0.0	1.230335077120847	0.0
sample0074	2.152591772099616	3.6203087524404722	0.0	0.0	0.0	0.0	4.464161618428829	0.0	2.5711977946487727	0.0	1.7316871920573613	0.0
sample0075	2.3547057989869207	3.774111530515472	0.0	0.0	0.0	0.0	4.432776242574838	0.0	2.770548599387978	0.0	0.9970820986016595	0.0
sample0076	2.061430564728495	3.714398123834822	0.0	0.0	0.4221106091442671	0.0	4.446468393930937	0.0	2.760481773040104	0.26043893071441526	1.4488739807955324	0.0
sample0077	2.4774096931667446	2.7254205538872633	0.0	0.0	0.0	0.0	4.517968510593104	0.0	1.8005197159625912	0.0	0.6889272722592331	0.0
sample0078	2.3679058653497327	3.409186588576887	0.0	0.0	0.0	0.0	4.490119252378388	0.0	2.1635989642579894	0.0	0.33592158191064597	0.0
sample0079	2.762636288997707	3.337842526053523	0.0	0.0	0.0	0.6023101418219637	4.48004553124604	0.0	2.9425892716214515	0.0	1.3120711005900125	0.0
sample0080	2.506794581919579	3.1047285591225755	0.0	0.0	0.7841009148783347	1.0478792082326225	4.498687433120553	0.0	2.7458975323675245	0.0	2.216601238640805	0.0
sample0081	2.235752223789378	3.5135960807755247	0.0	0.0	0.241512534823714	0.0	4.480792565183345	0.0	2.2106352827480182	0.0	0.737445679459877	0.0
sample0082	2.610390069145304	3.6476635108953177	0.0	0.0	0.0	0.0	4.460222772410914	0.0	2.18043723852858	0.0	0.0	0.0
sample0083	2.346253902862655	3.3383067089374783	0.0	0.0	0.0	0.0	4.4934791372677525	0.0	2.472339584696408	0.0	0.9450420144860882	0.0
sample0084	2.266711534854229	3.8156601458130903	0.0	0.0	0.5904575409512648	0.0	4.4289817244447205	0.0	2.412653971488274	0.0	1.2640456465964436	0.0
sample0085	2.3228188301297155	3.7461819904981293	0.0	0.0	0.0	0.32740299478404283	4.440169351465719	0.0	2.699487136998022	0.0	1.278832442717811	0.0
sample0086	2.146097455432787	3.769835612231378	0.0	0.0	0.0	0.0	4.43391215344406	0.0	2.8220591442147485	0.3237657646811225	0.8507198238871604	0.3237657646811225
sample0087	2.6799275997200738	3.582222778935092	0.0	0.4817476696259422	0.0	0.0	4.4652717743542	0.0	2.5595702532448468	0.0	0.0	0.0
sample0088	2.6713280260567522	2.8191081229739665	0.0	0.0	0.2370008481821195	0.0	4.513062629533409	0.0	2.1449964078809183	0.0	0.0	0.0
sample0089	2.495076999188492	3.6468437935379163	0.0	0.0	0.0	0.0	4.4541247151064	0.0	2.707099352491352	0.0	2.1727603690093464	0.0
sample0090	2.6824383549729545	3.734190394975061	0.0	0.0	0.0	0.0	4.438115601829848	0.0	2.6988492168504368	0.0	1.5000270153540123	0.0
sample0091	2.0406935821048604	3.719006630822994	0.0	0.0	0.5205339001588424	0.0	4.438668692849999	0.0	2.7355650973635113	0.0	2.7059228690681882	0.0
sample0092	2.266938949520626	3.335462233217906	0.0	0.0	0.0	1.0044934818795195	4.4938688720857956	0.0	2.5034225573890803	0.0	0.0	0.0
sample0093	1.7592504834101483	3.627386008792605	0.0	0.0	0.5932369834478874	0.0	4.462674614153743	0.0	2.653802537576426	0.0	1.9473685713802105	0.0
sample0094	2.1091796715269058	3.681218462732306	0.0	0.0	0.5156417161148333	0.2453684819353426	4.45212227085654	0.0	2.7766291347732523	0.0	0.8004359627659485	0.2453684819353426
sample0095	3.5790876588961478	2.6194011394448866	0.0	0.0	0.0	0.0	4.470442867180067	0.0	2.020459637349959	0.0	0.0	0.0
sample0096	2.4656057016949986	3.0119972033534816	0.0	0.0	0.0	0.0	4.5118893876290285	0.0	1.5637887062640012	0.0	0.0	0.0
